"name","latitude","longitude","population"
"北海道",43.06417,141.34694,5381733
"青森県",40.82444,140.74,1308265
"岩手県",39.70361,141.1525,1279594
"宮城県",38.26889,140.87194,2282308
"秋田県",39.71861,140.1025,1023119
"山形県",38.24056,140.36333,1123891
"福島県",37.75,140.46778,1914039
"茨城県",36.34139,140.44667,2916976
"栃木県",36.56583,139.88361,1974255
"群馬県",36.39111,139.06083,1973115
"埼玉県",35.85694,139.64889,7266534
"千葉県",35.60472,140.12333,6222666
"東京都",35.68944,139.69167,13515271
"神奈川県",35.44778,139.6425,9126214
"新潟県",37.90222,139.02361,2304264
"富山県",36.69528,137.21139,1066328
"石川県",36.59444,136.62556,1154008
"福井県",36.06528,136.22194,786740
"山梨県",35.66389,138.56833,834930
"長野県",36.65139,138.18111,2098804
"岐阜県",35.39111,136.72222,2031903
"静岡県",34.97694,138.38306,3700305
"愛知県",35.18028,136.90667,7483128
"三重県",34.73028,136.50861,1815865
"滋賀県",35.00444,135.86833,1412916
"京都府",35.02139,135.75556,2610353
"大阪府",34.68639,135.52,8839469
"兵庫県",34.69139,135.18306,5534800
"奈良県",34.68528,135.83278,1364316
"和歌山県",34.22611,135.1675,963579
"鳥取県",35.50361,134.23833,573441
"島根県",35.47222,133.05056,694352
"岡山県",34.66167,133.935,1921525
"広島県",34.39639,132.45944,2843990
"山口県",34.18583,131.47139,1404729
"徳島県",34.06583,134.55944,755733
"香川県",34.34028,134.04333,976263
"愛媛県",33.84167,132.76611,1385262
"高知県",33.55972,133.53111,728276
"福岡県",33.60639,130.41806,5101556
"佐賀県",33.24944,130.29889,832832
"長崎県",32.74472,129.87361,1377187
"熊本県",32.78972,130.74167,1786170
"大分県",33.23806,131.6125,1166338
"宮崎県",31.91111,131.42389,1104069
"鹿児島県",31.56028,130.55806,1648177
"沖縄県",26.2125,127.68111,1433566